2	MZ FITNESS	mz-fitness-gagan-vihar-demo	ChIJTXx7QAD7DDkRudl9SCSgxzI	917042084853	4.7	122	Eeshav Mehta	5	2026-07-29	Excellent gym with good-quality equipment and a motivating workout environment.	1	Vaibhav Chaudhary	5	2026-07-29	The staff is welcoming and friendly.	1
3	Svadhayaya Brain & Soul care center	svadhayaya-brain-soul-demo	ChIJ-3OETvz9DDkRca29b2pdkbo	917528920011	4.9	447	Tushar Pant	5	2026-06-08	He is very patient, approachable, and genuinely listens to his patients	1	Aman Raj	5	2026-07-02	The environment is calm and welcoming, making every session comfortable.	1
4	Dr. Astha Agarwal	dr-astha-agarwal-nina-demo	ChIJSZnFO_nxDDkRGhYkUs6WjMA	918882476129	4.8	438	Neha Joshi	5	2026-04-14	she makes you feel comfortable and cared for at every step.	1	Rishabh Jain	5	2026-05-10	She was attentive, compassionate, and always approachable whenever we needed guidance.	1
5	Remedial Physiotherapy Clinic	remedial-physiotherapy-clinic-nina-demo	ChIJ8z6OwS_lDDkRtHlYZ6sqeKU	918700663362	4.9	125	Deeksha Yadav	5	2026-06-22	The doctor is knowledgeable and guides precisely.	1	Rahul Joseph	5	2026-02-11	The therapists are patient, knowledgeable, and careful in explaining each step	1
6	Dolce Vita Cosmetic Clinic	dolce-vita-cosmetic-clinic-nina-demo	ChIJJze0uFL7DDkR7caAStJDlBs	919873401145	5.0	167	swarna joshi	5	2026-05-30	What truly stood out was how kind and attentive everyone was.	1	Sakshi Maggo	5	2026-06-04	The staff is professional, friendly, and makes you feel comfortable	1
7	Meet Fitness Sant Garh	meet-fitness-sant-garh-nina-demo	ChIJK6xeI94FDTkR5npR-3Y3hFw	919999002474	4.9	314	Geetika Arora	5	2026-08-04	Even the environment is so friendly and clean	1	mankiran kaur	5	2026-08-04	Amazing gym with supportive trainers and top-quality equipment.	1
8	Ideal Poly Clinic 13/62-63 Kalyanpuri Delhi	ideal-poly-clinic-demo	ChIJq6qqusbkDDkRRMa3RP045gM	919810221262	4.9	338	Sunil Kumar	5	2026-09-07	Great experience with dr khan	1	Shahajade Laal	5	2026-09-18	Very good doctor	1
9	Dr Kanchan's dental care centre	dr-kanchans-dental-care-demo	ChIJi6RH3HoDDTkR94gTTBJqjTQ	919811361726	4.9	856	Khushboo Yadav	5	2026-06-25	The staff was polite and helpful.	1	shivani tyagi	5	2026-04-11	The dentist was very calm, patient, and made me feel at ease	1
10	Dr.Shikha Gupta Physiotherapy Clinic	dr-shikha-gupta-physio-demo	ChIJK4Gewnz9DDkRbb-j3w4_RD4	918700779988	4.8	300	neha singh	5	2026-09-04	The clinic is clean and well-maintained.	1	Gladlyn Flora	5	2026-08-01	Maam is very friendly and explains every issue in detail.	1
11	Saniya dental clinic	saniya-dental-clinic-demo	ChIJ54uzULz9DDkReA50PawPb2w	919667629339	5.0	246	A Google User	5	2026-09-14	Great experience! Professional dentist, friendly staff	1	A Google User	5	2026-05-19	The doctor was so polite	1
12	Mangla ENT Clinic (Dr Sanjay Mangla)	mangla-ent-demo	ChIJ_____7rkDDkRpCFx8EiNPKs	917838301497	4.7	325	Mukul Gupta (McCool)	5	2026-09-06	Genius ENT doctor	1	Milan	5	2026-07-02	Excellent treatment done by Dr. Sanjay sir.	1
13	DR. SHANKY ROYAL DENTAL CLINIC	dr-shanky-royal-dental-clinic-demo	ChIJMa8D6O4CDTkRbS2OyVgx3zw	919896055690	4.9	616	Lakshita is here	5	2026-09-11	It was such a great experience	1	neeraj paswan	5	2026-09-10	he handled me very politely and is very helpful	1
14	Versha Clinic	versha-clinic-demo	ChIJSfhr5Hz9DDkR0NO6qKDhA38	919312088055	4.9	585	Zeshan Salmani	5	2026-09-16	Good staff my best experience	1	Ritik Tripathi	5	2026-09-15	My family doctor	1
15	Dr Ruchika Sharma	dr-ruchika-sharma-demo	ChIJoaOC-jMDDTkREJ1LNptyoQQ	918920381853	4.9	553	Simran Chauhan	5	2026-08-31	Mam was very supportive, caring, patient, and explained everything clearly.	1	Malvika saini	5	2026-07-13	She explained everything thoroughly, answered all my questions	1
16	My Denntiist Dental Clinic	my-denntiist-dental-clinic-demo	ChIJVVVVlY_9DDkRVWMhRuFS7_8	919354387447	4.9	236	Rahul Prajapati	5	2026-08-21	The staff was incredibly kind, patient, and caring throughout the visit.	1	Meenakshi Mittal	5	2026-06-02	He is trusted by my whole family	1
17	My Fitness Destination	my-fitness-destination	ChIJhUIVGu0BDTkRkfo7zWCYZwY	919310708676	4.9	1226	shreyansh goyal	5	2026-07-23	The trainers are approachable, knowledgeable, and always ready to help	1	Subhadip Kundu	5	2026-02-13	The environment is clean, well-equipped, and highly motivating.	1
18	Golden Grapes- Club & Convention	golden-grapes-club-and-convention-demo	ChIJ5-Gdz9vrDDkRh7zFG8j3yK8	918800974124	4.4	524	Pritha Mitra	5	2026-09-08	Very good service.	1	vishal Singh	4	2026-06-20	Very good for marriage function	1
19	Noida Dental Hospital	noida-dental-hospital-demo	ChIJtz5K3qjrDDkRKiwsZiHbObo	917834838485	4.8	279	Priyanka Chechi	5	2026-09-06	explains everything clearly instead of rushing through the treatment.	1	Sanchit Hlis	5	2026-08-30	the staff is friendly and professional	1
20	S2 Fitness Unisex GyM	s2-fitness-unisex-gym-demo	ChIJ4Xp7IwDpDDkR0BZQqYMekog	919911700041	4.9	262	Gaurav Kumar	5	2026-09-11	The trainers are friendly and helpful	1	Shivam Shrivastav	5	2026-09-10	Very nice gym and really sweet owners. Loved working out here.	1
21	Anand's Kimaya Grand Banquet and Resort	anand-s-kimaya-grand-banquet-and-resort-demo	ChIJZzN21GrrDDkR4I0F5jS2CLE	918447445551	4.7	243	Rajendra Siñgh	5	2026-04-15	the hospitality of management and staff is excellent.	1	Manjli Raghav	5	2026-02-24	Flower decor nice and food is good quality.	1
22	Arcane fitness	arcane-fitness-demo	ChIJ31JQ5jAFDTkRy7y7QLIohJE	919555155303	4.9	150	sumit pathania	5	2026-04-12	The gym trainer provides excellent training.	1	Rudrajit Chandra	5	2024-07-25	Fantastic gym with top-notch equipment, clean facilities, and friendly staff	1
23	Shree Krishna Vatika & Marriage Garden	shree-krishna-vatika-and-marriage-garden-demo	ChIJBd_mfZpGDTkRvctZ8Sk9d8s	919050950494	4.6	123	Netrapal Singh	5	2026-01-23	This is a very beautiful garden, a really clean area.	1	Ranbir Tanwar	5	2021-11-21	Very Nice Site Open Area	1
24	Perfect Fitness Club	perfect-fitness-club-demo	ChIJmTGsP4bpDDkR67Ko5gILVBs	919999153327	4.9	102	Aditi parashar	5	2026-03-06	The equipment is well-maintained and the space is always clean.	1	Abhishek Bhati	5	2025-09-11	I love the group classes — they keep me motivated and accountable.	1
25	Newrowalk Physiotherapy Neuro-Rehab	newrowalk-physiotherapy-neuro-rehab-demo	ChIJ_alUCA3fDDkRI6K14_hI6qs	919354389670	5.0	94	Yash Bhatia	5	2026-06-25	The doctor is highly knowledgeable, professional, and very encouraging.	1	Pavan Kumar Goyal	5	2026-07-13	Very hygienic, patient-friendly	1
26	Hype The Gym	hype-the-gym-demo	ChIJVQKhTQDxDDkR4-Nb4bUcK4o	919289831118	4.7	88	Jyoti Chaudhary	5	2026-07-30	The gym offers a clean, well-maintained environment with excellent equipment	1	Farhat Jahan	5	2026-01-31	He guided me through out my sessions with care and warmth.	1
27	Motion Mend Physiotherapy Clinic	motion-mend-physiotherapy-clinic-demo	ChIJy5sepFIbDTkRJY4N12z6szE	919971297114	4.9	77	surya pratap	5	2026-05-14	The clinic itself is well-equipped, clean, and has a very positive environment.	1	Jyoti	5	2026-07-07	Dr Ritika is very skilled and supportive.	1
28	Pro Ultimate Gyms - Janakpuri	pro-ultimate-gyms-janakpuri-demo	ChIJqTMGSlQFDTkRnRm1JWTHv4M	919217630058	4.8	71	Avneet singh Dhodi	5	2026-06-10	The staff is cooperative, friendly, and always willing to help.	1	Tarun	5	2026-07-07	Trainers guide well and the environment is motivating	1
29	Care&Rare physiotherapy clinic	care-and-rare-physiotherapy-clinic-demo	ChIJr_BumckZDTkRYCa5gyeXz-s	919818564689	4.9	61	Khushi Gupta	5	2025-11-21	The doctors are very friendly and welcoming.	1	Namrata Srivastava	5	2024-04-21	It's impeccably clean and hygienic	1
30	Aayushi Physiocare (Service at your home)	aayushi-physiocare-service-at-your-home-demo	ChIJ70DgJaXlDDkRzKRwEDE4zqQ	918587088926	4.9	52	KAPIL VAISH	5	2023-01-24	she is also kind and soft spoken towards the clients	1	Priyanka Yadav	5	2023-03-05	she is lovely to speak	1
31	Wellness Hostel and Gym	wellness-hostel-and-gym-demo	ChIJ-QbXzsbrDDkRUXehJ2REQT4	919990543454	4.7	42	Yuvraj Ahmana	5	2026-09-08	Friendly environment and perfect equipments and experienced trainers	1	Aman Sharma	5	2026-07-22	Best gym in knowledge park	1
32	Fitness Freak Gym	fitness-freak-gym-govindpuri-demo	ChIJ4UfwukphDDkRucIIZThshkE	918266817154	4.6	37	Kapil Kumar	4	2026-09-17	Great	1	Danish Ali	5	2024-07-08	Best gym modinagar	1
